feature,total,total_diff
f104_active_AMT_GOODS_PRICE-d-AMT_CREDIT_diff_mean,22052.0,56.0
f705_5,22051.0,15.0
f505_Closed_DAYS_CREDIT_UPDATE-m-DAYS_CREDIT_ENDDATE_mean,22050.0,12.0
f101_nyg-high_AMT_GOODS_PRICE-d-AMT_CREDIT_max,22049.0,3.0
f001_DAYS_EMPLOYED-m-DAYS_BIRTH-d-DAYS_LAST_PHONE_CHANGE-m-DAYS_ID_PUBLISH,22044.0,10.0
f101_active_AMT_CREDIT-d-total_debt_mean,22038.0,10.0
f001_building_score_medi_mean,22032.0,56.0
f505_Active_AMT_CREDIT_SUM-m-AMT_CREDIT_SUM_DEBT_diff_std-d-mean,22032.0,60.0
f101_approved_AMT_CREDIT-m-app_AMT_INCOME_TOTAL_pctchange_min,22031.0,73.0
f707_8,22031.0,83.0
f313_days_weighted_delay_diff_mean,22030.0,10.0
f106_NAME_PAYMENT_TYPE-XNA_appref,22027.0,7.0
f330_notdelay_AMT_PAYMENT-d-app_AMT_CREDIT_min,22025.0,55.0
f101_approved_AMT_GOODS_PRICE-d-total_debt_max,22024.0,6.0
f101_approved_AMT_CREDIT-m-app_AMT_INCOME_TOTAL_std-d-mean,22022.0,152.0
f707_27,22021.0,35.0
f109_AMT_GOODS_PRICE-d-total_debt,22021.0,17.0
f508_Active_AMT_CREDIT_SUM-d-app_AMT_INCOME_TOTAL_sum,22019.0,41.0
f302_notdelay_DAYS_ENTRY_PAYMENT-m-app_DAYS_BIRTH_std-d-mean,22017.0,11.0
f306_cons_DEP_diff_mean,22013.0,67.0
f706_14,22012.0,14.0
f705_4,22012.0,78.0
f505_Closed_DAYS_ENDDATE_FACT_max,22006.0,38.0
f001_DAYS_EMPLOYED-m-DAYS_BIRTH-d-DAYS_LAST_PHONE_CHANGE-m-DAYS_REGISTRATION,22005.0,121.0
f503_AMT_CREDIT_SUM-d-app_AMT_INCOME_TOTAL_sum,21996.0,4.0
f505_Active_AMT_CREDIT_SUM-m-AMT_CREDIT_SUM_DEBT_diff_max-d-min,21992.0,22.0
