feature,weight,gain,cover,total
f505_Active_AMT_CREDIT_SUM_DEBT-d-AMT_CREDIT_SUM_mean,0.09248913718187461,0.1377475404154394,0.027440331470848546,0.2576770090681626
f108_NAME_TYPE_SUITE,0.0223463687150838,0.1102648687678679,0.12155773657972942,0.25416897406268113
f001_REGION_POPULATION_RELATIVE,0.09062693978895096,0.07918067593716067,0.07898299761620188,0.2487906133423135
f101_approved_DAYS_LAST_DUE-d-app_DAYS_REGISTRATION_max-d-min,0.00186219739292365,0.1270368805208929,0.11661783159464777,0.24551690950846433
f501_CREDIT_TYPE_Mortgage_mean,0.03414028553693358,0.12268068492976268,0.08743664449270501,0.2442576149594013
f703_bureau_y_mean,0.03972687771570453,0.16436356302865246,0.03961021690128596,0.24370065764564297
f001_FLAG_WORK_PHONE,0.04779639975170701,0.09108971234835361,0.10255998440369918,0.2414460965037598
f502_DAYS_CREDIT_ENDDATE-d-app_DAYS_BIRTH_mean,0.04283054003724395,0.13909665698189036,0.05712894583741917,0.2390561428565535
f303_amt_delta_max,0.0006207324643078833,0.16325818423864008,0.0744906247951985,0.23836954149814646
f511_AMT_CREDIT_SUM_DEBT-d-AMT_CREDIT_SUM_max_max,0.043451272501551834,0.16104553388609302,0.03167758132595533,0.2361743877136002
f406_CNT_DRAWINGS_ATM_CURRENT_max,0.002482929857231533,0.18656080931725277,0.04668321061408959,0.2357269497885739
f001_DAYS_ID_PUBLISH-m-DAYS_BIRTH,0.07324643078833024,0.13276334582118565,0.02812886776729967,0.23413864437681556
f001_AMT_GOODS_PRICE-m-AMT_CREDIT,0.08069522036002483,0.09818349816921236,0.05464463109747303,0.23352334962671023
f101_approved_cnt_unpaid_std,0.03600248292985723,0.16681709366967207,0.030159874369459782,0.23297945096898906
f509_AMT_CREDIT_MAX_OVERDUE,0.031036623215394164,0.11178590583095543,0.0896723480612618,0.2324948771076114
f405_AMT_DRAWINGS_ATM_CURRENT_sum,0.024829298572315334,0.13585397528561663,0.0713996999698442,0.23208297382777615
f105_prevapp_future_payment_1vs6,0.037243947858473,0.08641751178481835,0.10413442169538864,0.22779588133868
f001_DEF_60_CNT_SOCIAL_CIRCLE,0.037243947858473,0.11593238719906367,0.07343736544311531,0.226613700500652
f702_prev_y_median,0.08379888268156424,0.09278720601226476,0.049914714572197504,0.2265008032660265
f001_PAYMENT_RATE,0.03165735567970205,0.1289661869367011,0.06407290550169868,0.2246964481181018
