feature,total
f501_AMT_CREDIT_SUM-d-debt-p-AMT_CREDIT_SUM_DEBT-p-AMT_CREDIT_SUM_LIMIT_mean,0.028361166944442597
f313_days_weighted_delay_diff_mean,0.028316425482470223
f706_15,0.02813548169508531
f101_active_AMT_CREDIT-d-app_AMT_ANNUITY_diff_mean,0.028130430804207133
f707_20,0.02811566131808119
f706_13,0.02803717114938922
f314_days_weighted_delay_diff_sum,0.028019863315233172
f201_CNT_INSTALMENT-m-CNT_INSTALMENT_FUTURE_std-d-mean,0.0279262426180624
f001_building_score_medi_mean,0.027905708277492648
f505_Closed_DAYS_ENDDATE_FACT_max,0.027896381981362378
f707_0,0.027880912845413486
f101_completed_HOUR_APPR_PROCESS_START_mean,0.027867965998078503
f503_AMT_CREDIT_SUM-d-app_AMT_INCOME_TOTAL_sum,0.027839370800222175
f509_AMT_CREDIT_SUM-m-AMT_CREDIT_SUM_DEBT_diff,0.02778991616780823
f001_DAYS_REGISTRATION-m-DAYS_EMPLOYED-d-DAYS_LAST_PHONE_CHANGE-m-DAYS_ID_PUBLISH,0.027749286912249142
f105_approved_ratio,0.027740811144646417
f505_Active_DAYS_CREDIT-d-app_DAYS_REGISTRATION_min,0.0277374524900378
f001_DAYS_EMPLOYED-m-DAYS_BIRTH-d-DAYS_LAST_PHONE_CHANGE-m-DAYS_ID_PUBLISH,0.027735470440352707
f001_age_finish_payment,0.02766319242066865
f101_nyg-middle_nejumi_min,0.02758880869961316
f705_5,0.027563448857223553
f205_SK_DPD_std-d-mean,0.027483726392906953
f706_14,0.02743474721673722
f510_DAYS_CREDIT_UPDATE-m-DAYS_CREDIT,0.02742222621908179
f101_completed_AMT_APPLICATION-d-app_AMT_GOODS_PRICE_max,0.027307031984698624
f101_active_AMT_CREDIT-d-total_debt_min,0.027212287681075257
f104_completed_AMT_ANNUITY-d-app_AMT_INCOME_TOTAL_max,0.02715825812071018
f109_days_trm-m-ldue1,0.027111885059195113
f109_RATE_DOWN_PAYMENT,0.027002252239032243
f101_approved_DAYS_LAST_DUE-d-app_DAYS_BIRTH_max-d-min,0.026982818139151557
f505_Closed_DAYS_CREDIT_UPDATE-m-DAYS_CREDIT_ENDDATE_mean,0.026977139908238128
f707_14,0.02696181613732936
f501_DAYS_CREDIT-m-app_DAYS_BIRTH_min,0.026896597512432653
f509_AMT_CREDIT_SUM-d-app_AMT_INCOME_TOTAL,0.026878739111044606
f301_delay_DAYS_ENTRY_PAYMENT-m-app_DAYS_BIRTH_min,0.026863683116605357
f103_nyg-low_normal_AMT_ANNUITY-m-app_AMT_ANNUITY-d-app_AMT_INCOME_TOTAL_pctchange_max,0.02684891068721446
f330_notdelay_AMT_PAYMENT-d-app_AMT_CREDIT_min,0.02682241951598726
f101_approved_AMT_CREDIT-d-total_debt_std-d-mean,0.026778139576675908
f308_cons_days_delayed_payment_pctchange_var,0.026717078812212892
f101_nyg-middle_AMT_CREDIT-d-total_debt_mean,0.026669722951998064
f501_DAYS_CREDIT_ENDDATE-d-app_DAYS_LAST_PHONE_CHANGE_std-d-mean,0.02665912279906891
f202_SK_DPD_diff_std,0.02658651308426098
f707_12,0.02657199298575261
f025_DAYS_EMPLOYED_diff_r,0.026553190202441145
f101_completed_AMT_APPLICATION-d-app_AMT_ANNUITY_max,0.026547447575961045
f205_CNT_INSTALMENT_FUTURE-d-CNT_INSTALMENT_mean,0.026535453080232436
f509_DAYS_CREDIT_ENDDATE-m-app_DAYS_LAST_PHONE_CHANGE,0.02652535146561396
f001_AMT_GOODS_PRICE-d-AMT_ANNUITY,0.02649797634197215
f025_DAYS_ID_PUBLISH_diff_r,0.026376441244756382
f001_building_score_avg_mean,0.02636527079784765
f505_Active_AMT_CREDIT_SUM-m-AMT_CREDIT_SUM_DEBT_diff_max-d-min,0.026345406394722826
f707_5,0.02626003550513157
f501_AMT_CREDIT_SUM_DEBT-d-AMT_CREDIT_SUM_diff_max,0.02624444202304836
f302_DPD_mean,0.0261920377646455
f707_11,0.026132482540189798
f305_notdelay_con_days_weighted_delay_mean,0.02609927846723281
f108_nejumi,0.026095386050618015
f101_nyg-low_normal_AMT_ANNUITY-m-app_AMT_ANNUITY-d-app_AMT_INCOME_TOTAL_pctchange_max,0.02606220473392297
f406_CNT_DRAWINGS_ATM_CURRENT_diff_std,0.026013392552001156
f313_days_delayed_payment_pctchange_var,0.025970322225557854
f001_DAYS_ID_PUBLISH-m-DAYS_EMPLOYED-d-DAYS_ID_PUBLISH-m-DAYS_REGISTRATION,0.025961924210298054
f101_refused_AMT_CREDIT-d-total_debt_mean,0.025912713141564507
f101_refused_AMT_CREDIT-d-total_debt_min,0.025868093893990297
f001_NEW_CAR_TO_EMPLOY_RATIO,0.02585059910243756
f001_DAYS_EMPLOYED-m-DAYS_BIRTH-d-DAYS_LAST_PHONE_CHANGE-m-DAYS_REGISTRATION,0.02575414856516149
f001_EXT_SOURCES_1-3,0.025745065088121327
f501_DAYS_CREDIT_UPDATE-m-DAYS_CREDIT_ENDDATE_max-d-min,0.02572904040385153
f001_PAYMENT_RATE,0.025711700628301207
f301_delay_DAYS_ENTRY_PAYMENT_max,0.025705378810306077
f201_CNT_INSTALMENT-m-CNT_INSTALMENT_FUTURE_std,0.02566147270771155
f509_DAYS_CREDIT_UPDATE_diff,0.02559431449145385
f509_AMT_CREDIT_SUM_DEBT-p-AMT_CREDIT_SUM_LIMIT,0.025583034585276918
f001_DAYS_REGISTRATION-m-DAYS_BIRTH-d-DAYS_LAST_PHONE_CHANGE-m-DAYS_ID_PUBLISH,0.025394249169833887
f501_DAYS_CREDIT_UPDATE-m-DAYS_CREDIT_min,0.025358966267405372
f101_approved_nejumi_std,0.02532248441360723
f101_nyg-low_normal_AMT_ANNUITY-d-app_AMT_ANNUITY_min,0.025300697715343455
f706_6,0.02525825963316402
f505_Active_DAYS_CREDIT-d-app_DAYS_LAST_PHONE_CHANGE_min,0.02523557339623557
f302_delay_DAYS_ENTRY_PAYMENT_mean,0.025229163568497366
f313_days_weighted_delay_diff_sum,0.025177844628434996
f001_DAYS_REGISTRATION-m-DAYS_BIRTH-d-DAYS_ID_PUBLISH-m-DAYS_EMPLOYED,0.025170464520910946
f102_approved_AMT_GOODS_PRICE-d-total_debt_max,0.025148868424225722
f109_AMT_ANNUITY-d-app_AMT_ANNUITY,0.025103513280270863
f101_approved_AMT_ANNUITY-m-app_AMT_ANNUITY-d-app_AMT_INCOME_TOTAL_pctchange_min,0.025069019123164914
f106_NAME_CONTRACT_STATUS-Canceled,0.02506499230059636
f308_cas_DAYS_INSTALMENT_pctchange_min,0.02504529939807528
f501_AMT_CREDIT_SUM-m-AMT_CREDIT_SUM_DEBT_pctchange_max-d-min,0.024929206842170773
f509_DAYS_CREDIT_UPDATE,0.0248783825011165
f307_cons_DEP_diff_mean,0.024819608768563244
f001_building_score_mode_mean,0.024663056664526138
f501_DAYS_CREDIT_UPDATE_pctchange_std-d-mean,0.024645586027184235
f001_DAYS_REGISTRATION-m-DAYS_EMPLOYED-d-DAYS_LAST_PHONE_CHANGE-m-DAYS_EMPLOYED,0.024644551276927787
f310_delay_days_weighted_delay_max-m-min,0.024599538398847494
f109_days_trm-m-fdue,0.02458282496935785
f308_cons_DBD_diff_mean,0.024558504683207937
f509_AMT_CREDIT_SUM-d-app_AMT_ANNUITY,0.024531716228512086
f405_AMT_TOTAL_RECEIVABLE-m-AMT_RECEIVABLE_PRINCIPAL_pctchange_std-d-mean,0.024515269586961944
f501_DAYS_CREDIT_UPDATE-m-DAYS_CREDIT_mean,0.0244947090464532
f308_cas_days_weighted_delay_diff_mean,0.02446392559146931
f501_AMT_CREDIT_SUM-m-AMT_CREDIT_SUM_DEBT_std-d-mean,0.024440241214945445
f510_DAYS_CREDIT_UPDATE-m-DAYS_CREDIT_ENDDATE,0.02442376584101124
f505_Active_AMT_CREDIT_SUM-d-app_AMT_INCOME_TOTAL_sum,0.024400364401233197
f509_DAYS_CREDIT_ENDDATE-m-app_DAYS_REGISTRATION,0.024374803181340186
f310_delay_DAYS_ENTRY_PAYMENT_mean,0.02434911974506213
f501_DAYS_CREDIT-m-app_DAYS_BIRTH_mean,0.02434673839703605
f509_DAYS_CREDIT_ENDDATE-d-app_DAYS_LAST_PHONE_CHANGE,0.02430662740742844
f108_AMT_GOODS_PRICE-d-total_debt,0.02426854356507428
f301_delay_DAYS_ENTRY_PAYMENT-m-app_DAYS_LAST_PHONE_CHANGE_std-d-mean,0.024202124050353054
f108_AMT_ANNUITY-m-app_AMT_INCOME_TOTAL,0.024191394350047406
f201_CNT_INSTALMENT-m-CNT_INSTALMENT_FUTURE_mean,0.024188597120526123
f102_nyg-middle_AMT_GOODS_PRICE-d-AMT_CREDIT_diff_min,0.0241801716065011
f509_DAYS_ENDDATE_FACT-m-app_DAYS_REGISTRATION,0.024164663734559964
f501_AMT_CREDIT_SUM-m-AMT_CREDIT_SUM_DEBT_pctchange_max,0.024104522201347733
f510_DAYS_ENDDATE_FACT-m-DAYS_CREDIT_ENDDATE,0.024098840495721908
f510_DAYS_CREDIT_ENDDATE-m-DAYS_CREDIT,0.02405751716290998
f103_approved_HOUR_APPR_PROCESS_START_std-d-mean,0.02404585278385544
f103_active_AMT_APPLICATION-d-app_AMT_ANNUITY_min,0.02399203468988022
f310_notdelay_NUM_INSTALMENT_ratio_mean,0.023989467650821394
f314_amt_ratio_diff_mean,0.02395473137807766
f101_approved_AMT_CREDIT-m-app_AMT_INCOME_TOTAL_pctchange_min,0.023931004995013164
f301_days_weighted_delay_mean,0.02392947644499869
f706_1,0.023901332571910145
f501_AMT_CREDIT_SUM_DEBT-d-AMT_CREDIT_SUM_std-d-mean,0.023768955010732666
f101_approved_HOUR_APPR_PROCESS_START_mean,0.023741714983259173
